"";"ano";"mes";"Casos";"Casos_Confirmados";"data";"incidencia"
"1";2014;"janeiro";69;24;2014-01-01;1,77777777777778
"2";2014;"fevereiro";72;23;2014-02-01;1,7037037037037
"3";2014;"março";83;26;2014-03-01;1,92592592592593
"4";2014;"abril";82;23;2014-04-01;1,7037037037037
"5";2014;"maio";85;36;2014-05-01;2,66666666666667
"6";2014;"junho";75;32;2014-06-01;2,37037037037037
"7";2014;"julho";88;29;2014-07-01;2,14814814814815
"8";2014;"agosto";90;34;2014-08-01;2,51851851851852
"9";2014;"setembro";76;17;2014-09-01;1,25925925925926
"10";2014;"outubro";71;26;2014-10-01;1,92592592592593
"11";2014;"novembro";84;33;2014-11-01;2,44444444444444
"12";2014;"dezembro";73;23;2014-12-01;1,7037037037037
"13";2015;"janeiro";58;22;2015-01-01;1,62962962962963
"14";2015;"fevereiro";70;25;2015-02-01;1,85185185185185
"15";2015;"março";100;40;2015-03-01;2,96296296296296
"16";2015;"abril";81;29;2015-04-01;2,14814814814815
"17";2015;"maio";88;38;2015-05-01;2,81481481481481
"18";2015;"junho";91;44;2015-06-01;3,25925925925926
"19";2015;"julho";109;47;2015-07-01;3,48148148148148
"20";2015;"agosto";89;32;2015-08-01;2,37037037037037
"21";2015;"setembro";95;33;2015-09-01;2,44444444444444
"22";2015;"outubro";106;36;2015-10-01;2,66666666666667
"23";2015;"novembro";118;39;2015-11-01;2,88888888888889
"24";2015;"dezembro";75;16;2015-12-01;1,18518518518519
"25";2016;"janeiro";106;38;2016-01-01;2,81481481481481
"26";2016;"fevereiro";95;28;2016-02-01;2,07407407407407
"27";2016;"março";101;29;2016-03-01;2,14814814814815
"28";2016;"abril";96;39;2016-04-01;2,88888888888889
"29";2016;"maio";86;22;2016-05-01;1,62962962962963
"30";2016;"junho";77;31;2016-06-01;2,2962962962963
"31";2016;"julho";68;28;2016-07-01;2,07407407407407
"32";2016;"agosto";85;28;2016-08-01;2,07407407407407
"33";2016;"setembro";80;37;2016-09-01;2,74074074074074
"34";2016;"outubro";91;34;2016-10-01;2,51851851851852
"35";2016;"novembro";77;32;2016-11-01;2,37037037037037
"36";2016;"dezembro";82;35;2016-12-01;2,59259259259259
"37";2017;"janeiro";136;45;2017-01-01;3,33333333333333
"38";2017;"fevereiro";79;22;2017-02-01;1,62962962962963
"39";2017;"março";96;39;2017-03-01;2,88888888888889
"40";2017;"abril";87;32;2017-04-01;2,37037037037037
"41";2017;"maio";106;38;2017-05-01;2,81481481481481
"42";2017;"junho";134;64;2017-06-01;4,74074074074074
"43";2017;"julho";85;38;2017-07-01;2,81481481481481
"44";2017;"agosto";77;22;2017-08-01;1,62962962962963
"45";2017;"setembro";93;37;2017-09-01;2,74074074074074
"46";2017;"outubro";78;26;2017-10-01;1,92592592592593
"47";2017;"novembro";98;36;2017-11-01;2,66666666666667
"48";2017;"dezembro";85;23;2017-12-01;1,7037037037037
"49";2018;"janeiro";65;28;2018-01-01;2,07407407407407
